"firstname","П.І.Б"
"Register new account","Створити обліковий запис"
"View Cart","В корзину"
"Compare","Порівняти"
"Daily deal","Знижка дня"
"Type comment here","Введіть тут свій коментар"
"Already registered? Please","Вже зареєстровані? Будь ласка"
"log in","Увійти"
"Please accept terms and conditions","Будь ласка, прийміть умови"
"Forgot your password?","Забули Ваш пароль?"
"Click <a href=""%s"">here</a> to continue shopping.","Натисніть <a href=""%s"">тут</a>, щоб продовжити покупки."
"Additional","Характеристики"
"about","про"
"days ago","днів тому"
"hours ago","годин тому"
"minutes ago","хвилин тому"
"seconds ago","секунд тому"
"Flickr Stream","Flickr Stream"
"Email address","Email"
"Join","Join"
"Enter your e-mail Address","Введіть Вашу e-mail адресу"
"SEARCH","ПОШУК"
"Cart %s items for %s","Cart %s items for %s"
"Cart %s item for %s","Cart %s item for %s"
"Shopping Cart","Корзина"
"All Categories","Всі категорії"
"Catalog Category Search","Catalog Category Search"
"Search","Пошук"
"Search entire store here...","Пошук..."
"Select Category On Category Pages","Select Category On Category Pages"
"Show Subcategories","Show Subcategories"
"Subcategory Indentation","Subcategory Indentation"
"Be the First to Know","Be the First to Know"
"Submit","Відправити"
"You've just added this product to the cart:","Ви тільки що додали цей товар до кошика:"
"Read more >","Читати далі >"
"Product Catalog","Каталог товарів"
