"Background","Background"
"Body","Body"
"Color","Color"
"Image","Image"
"Repeat","Repeat"
"Position","Position"
"Values should include dimension units: 50% or -20px or 5em, etc","Values should include dimension units: 50% or -20px or 5em, etc"
"left","left"
"top","top"
"Page content. <span style=""color: #f00"">Please remove navigation container background before using this option</span>","Page content. <span style=""color: #f00"">Please remove navigation container background before using this option</span>"
"Top toolbar container","Top toolbar container"
"Header container","Header container"
"Navigation container","Navigation container"
"Content container","Content container"
"Footer toolbar container","Footer toolbar container"
"Footer cms container","Footer cms container"
"Footer container","Footer container"
"Scroll up element (#scroll-up a)","Scroll up element (#scroll-up a)"
"Background color","Background color"
"Hover state background color","Hover state background color"
"Top navigation","Top navigation"
"Top level links","Top level links"
"Font-family","Font-family"
"Font size","Font size"
"Text transform","Text transform"
"Font color","Font color"
"Hover state font color","Hover state font color"
"Active state font color","Active state font color"
"Links from the rest of the levels","Links from the rest of the levels"
"Tabs","Tabs"
"Padding","Padding"
"Hover state","Hover state"
"Active state","Active state"
"Fonts","Fonts"
"Looking for <a href='http://www.google.com/fonts/' target='_blank'>google fonts</a> integration? Use the Head links option below. <a href='https://developers.google.com/fonts/docs/getting_started#Overview' target='_blank'>Getting Started Guide</a>","Looking for <a href='http://www.google.com/fonts/' target='_blank'>google fonts</a> integration? Use the Head links option below. <a href='https://developers.google.com/fonts/docs/getting_started#Overview' target='_blank'>Getting Started Guide</a>"
"Head links","Head links"
"Page title","Page title"
"Size","Size"
"Weight","Weight"
"Block title","Block title"
"Product name link in listing","Product name link in listing"
"Hover state color","Hover state color"
"Product collateral block title","Product collateral block title"
"Additional css and head includes","Additional css and head includes"
"Additional head links","Additional head links"
"Example:<br/> &lt;link href='http://fonts.googleapis.com/css?family=Source+Sans+Pro' rel='stylesheet' type='text/css'/&gt;","Example:<br/> &lt;link href='http://fonts.googleapis.com/css?family=Source+Sans+Pro' rel='stylesheet' type='text/css'/&gt;"
"Css styles","Css styles"
"You can put css code inside textarea, or create custom.css file in skin folder of active argento theme","You can put css code inside textarea, or create custom.css file in skin folder of active argento theme"
"Page content","Page content"
"Navigation","Navigation"
"Border width","Border width"
"Example: 0 0 1px 0 (top right bottom left)","Example: 0 0 1px 0 (top right bottom left)"
"Border color","Border color"
"Buttons","Buttons"
"Button","Button"
"Alternative button","Alternative button"
"Product view add to cart button","Product view add to cart button"
"Sidebar blocks","Sidebar blocks"
"Block title font","Block title font"
"Block content","Block content"
"Header background","Header background"
