"Easy Banner","Easy Banner"
"Manage Banners","Manage Banners"
"Manage Placeholders","Manage Placeholders"
"Easy Banner Section","Easy Banner Section"
"General","General"
"Name of the folder where the banners will be stored","Name of the folder where the banners will be stored"
"Folder at MAGENTO_ROOT/media/. Default 'easybanner'","Folder at MAGENTO_ROOT/media/. Default 'easybanner'"
"Conditions (leave blank to show on all pages)","Conditions (leave blank to show on all pages)"
"Conditions","Conditions"
"Title","Title"
"Url","Url"
"Mode","Mode"
"Image","Image"
"Html","Html"
"Content","Content"
"General Information","General Information"
"Hide Url","Hide Url"
"Yes","Yes"
"No","No"
"Target","Target"
"Popup","Popup"
"Blank","Blank"
"Self","Self"
"Sort order","Sort order"
"Store View","Store View"
"Placeholder","Placeholder"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Statistics","Statistics"
"Display Count","Display Count"
"Clicks Count","Clicks Count"
"Banner Information","Banner Information"
"General Information","General Information"
"Save Banner","Save Banner"
"Delete Banner","Delete Banner"
"Save And Continue Edit","Save And Continue Edit"
"Edit Banner '%s'","Edit Banner '%s'"
"Add Banner","Add Banner"
"ID","ID"
"Name","Name"
"Placeholder Name","Placeholder Name"
"Parent Block","Parent Block"
"Position","Position"
"Banners limit per rotate","Banners limit per rotate"
"Slider","Slider"
"Rotator","Rotator"
"Save Placeholder","Save Placeholder"
"Delete Placeholder","Delete Placeholder"
"Edit Placeholder '%s'","Edit Placeholder '%s'"
"Add Placeholder","Add Placeholder"
"Page","Page"
"Manage Placeholders","Manage Placeholders"
"Banner Manager","Banner Manager"
"This banner no longer exists","This banner no longer exists"
"Edit Banner","Edit Banner"
"New Banner","New Banner"
"Banner was successfully saved","Banner was successfully saved"
"Banner was successfully deleted","Banner was successfully deleted"
"Unable to find a banner to delete","Unable to find a banner to delete"
"Placeholder Manager","Placeholder Manager"
"This placeholder no longer exists","This placeholder no longer exists"
"Edit Placeholder","Edit Placeholder"
"New Placeholder","New Placeholder"
"Placeholder was successfully deleted","Placeholder was successfully deleted"
"Unable to find a placeholder to delete","Unable to find a placeholder to delete"
"Image file not found","Image file not found"
"Category","Category"
"Product","Product"
"Date","Date"
"Time","Time"
"Customer Group","Customer Group"
"Clear Statistics","Clear Statistics"
"Easybanner Banner","Easybanner Banner"
"Easybanner Placeholder","Easybanner Placeholder"
"Select Banner...","Select Banner..."
"Select Placeholder...","Select Placeholder..."
"The banner has been duplicated","The banner has been duplicated"
"Sort mode","Sort mode"
"Random","Random"
"By Banners Sort Order","By Banners Sort Order"
"Image Options","Image Options"
"Use image resizer","Use image resizer"
"Actual image size should be twice larger then the entered width and height","Actual image size should be twice larger then the entered width and height"
"Retina support","Retina support"
"Background color","Background color"
"Html Content","Html Content"
