"Recently Viewed","Recently Viewed"
"Bestsellers","Bestsellers"
"Featured Products","Featured Products"
"New Products","New Products"
"Popular Products","Popular Products"
"Random Products","Random Products"
"Special Products","Special Products"
"Recent Reviews","Recent Reviews"
"Highlight: Attribute Date Filter","Highlight: Attribute Date Filter"
"Example: news_from_date,news_to_date","Example: news_from_date,news_to_date"
"Date Attribute","Date Attribute"
"Grid Template","Grid Template"
"List Template","List Template"
"Sidebar Grid Template","Sidebar Grid Template"
"Sidebar List Template","Sidebar List Template"
"Custom Template","Custom Template"
"Path to the template. Example: tm/highlight/product/grid.phtml<br/>Works only when previous option is set to 'Custom Template'","Path to the template. Example: tm/highlight/product/grid.phtml<br/>Works only when previous option is set to 'Custom Template'"
"Block Class Name","Block Class Name"
"Category Filter","Category Filter"
"Example: 10,15,current - Products from category 10 or 15 or active category","Example: 10,15,current - Products from category 10 or 15 or active category"
"Price Filter","Price Filter"
"Example: 100,200 - Products with price between 100 and 200","Example: 100,200 - Products with price between 100 and 200"
"Highlight: Attribute Yes/No Filter","Highlight: Attribute Yes/No Filter"
"Example: featured","Example: featured"
"Yes/No Attribute","Yes/No Attribute"
"Highlight: Bestseller Products","Highlight: Bestseller Products"
"Highlight: Featured Product","Highlight: Featured Product"
"Highlight: New Products","Highlight: New Products"
"Highlight: Popular Products (Most Viewed)","Highlight: Popular Products (Most Viewed)"
"Highlight: Random Products","Highlight: Random Products"
"Highlight: Recently Reviewed Products","Highlight: Recently Reviewed Products"
"Highlight: Recently Viewed Products","Highlight: Recently Viewed Products"
"Highlight: Special Products","Highlight: Special Products"
"Product Type Filter","Product Type Filter"
"Example: simple,bundle - Show only simple and bundle products","Example: simple,bundle - Show only simple and bundle products"
