"Enabled ProLabel","Enabled ProLabel"
"Display","Display"
"Position","Position"
"Image","Image"
"Label Style (Rewrite position config value)","Label Style (Rewrite position config value)"
"Image text","Image text"
"Min Items In Stock","Min Items In Stock"
"Attribute code","Attribute code"
"General","General"
"Product On Sale Label","Product On Sale Label"
"Product Items In Stock Label","Product Items In Stock Label"
"Product Recommended Label","Product Recommended Label"
"Product New Label","Product New Label"
"Category On Sale Label","Category On Sale Label"
"Category Items In Stock Label","Category Items In Stock Label"
"Category Recommended Label","Category Recommended Label"
"Category New Product Label","Category New Product Label"
"top-left","top-left"
"top-center","top-center"
"top-right","top-right"
"middle-left","middle-left"
"middle-center","middle-center"
"middle-right","middle-right"
"bottom-left","bottom-left"
"bottom-center","bottom-center"
"bottom-right","bottom-right"
"recommended","recommended"
"ProLabel Product","ProLabel Product"
"ProLabel Category","ProLabel Category"
"Position style","Position style"
"Font Style","Font Style"
"years","years"
"year","year"
"months","months"
"month","month"
"weeks","weeks"
"week","week"
"days","days"
"day","day"
"hours","hours"
"hour","hour"
"minuts","minuts"
"minut","minut"
"seconds","seconds"
"second","second"
"Math","Math"
"Ceil","Ceil"
"Floor","Floor"
"Manage System Labels","Manage System Labels"
"Add On Sale Label","Add On Sale Label"
"Add In Stock Label","Add In Stock Label"
"Add Is New Label","Add Is New Label"
"Reindex Labels","Reindex Labels"
"Manage Labels","Manage Labels"
"Add Label","Add Label"
"ID","ID"
"Name","Name"
"Store View","Store View"
"Enabled","Enabled"
"Save Label","Save Label"
"Delete Label","Delete Label"
"Save And Apply","Save And Apply"
"Apply","Apply"
"Edit Label '%s'","Edit Label '%s'"
"Label Information","Label Information"
"Content (Product Page)","Content (Product Page)"
"Content (Category Page)","Content (Category Page)"
"Conditions","Conditions"
"Indexed Products","Indexed Products"
"Display if Stock is lower then","Display if Stock is lower then"
"Enable Out of stock label","Enable Out of stock label"
"Out of stock Image","Out of stock Image"
"Out Of Stock Label Text","Out Of Stock Label Text"
"System","System"
"Status","Status"
"Disabled","Disabled"
"System Label","System Label"
"On Sale","On Sale"
"In Stock","In Stock"
"Is New","Is New"
"Save And Continue","Save And Continue"
"%s Label Status","%s Label Status"
"Templates Master","Templates Master"
"ProLabels","ProLabels"
"Labels Manager","Labels Manager"
"This label no longer exists","This label no longer exists"
"Edit Label","Edit Label"
"New Label","New Label"
"Label was successfully saved","Label was successfully saved"
"Label was successfully deleted","Label was successfully deleted"
"Unable to find a label to delete","Unable to find a label to delete"
"%d customer(s) reindexed","%d customer(s) reindexed"
"%d product(s) reindexed","%d product(s) reindexed"
"%d product(s) was successfully reindexed","%d product(s) was successfully reindexed"
"System Labels Manager","System Labels Manager"
"Label not saved! Please select other store.","Label not saved! Please select other store."
"Unable to apply rules.","Unable to apply rules."
"The labels have been applied.","The labels have been applied."
"Manual Labels","Manual Labels"
"System Labels","System Labels"
"Prolabels Section","Prolabels Section"
"Templates-master","Templates-master"
"Enabled ProLabels","Enabled ProLabels"
"Items In Stock Label Settings","Items In Stock Label Settings"
"Enable Out Of Stock","Enable Out Of Stock"
"up to ","up to "
