"Products Bought Together Manager","Products Bought Together Manager"
"Reindex Data","Reindex Data"
"Products Bought by Same Customer Manager","Products Bought by Same Customer Manager"
"ID","ID"
"Product Name","Product Name"
"Related Product Name","Related Product Name"
"Weight","Weight"
"Is Admin","Is Admin"
"Save Item","Save Item"
"Delete Item","Delete Item"
"Edit Item","Edit Item"
"Add Item","Add Item"
"Edit Information","Edit Information"
"Frequently bought together","Frequently bought together"
"Customers Who Bought This Item Also Bought","Customers Who Bought This Item Also Bought"
"Customers who bought this product also commonly purchased the following combination of items.","Customers who bought this product also commonly purchased the following combination of items."
"Order Manager","Order Manager"
"Item Manager","Item Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Please select items.","Please select items."
"Item was successfully saved","Item was successfully saved"
"%d order(s) reindexed","%d order(s) reindexed"
"%d order(s) was successfully reindexed","%d order(s) was successfully reindexed"
"Customer Manager","Customer Manager"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"%d customer(s) reindexed","%d customer(s) reindexed"
"%d customer(s) was successfully reindexed","%d customer(s) was successfully reindexed"
"Sold Together","Sold Together"
"Frequently Bought Together","Frequently Bought Together"
"Bought Together Pro","Bought Together Pro"
"Sold Together Pro","Sold Together Pro"
"Enabled","Enabled"
"Enabled Sold Together Pro","Enabled Sold Together Pro"
"Count Products to Display","Count Products to Display"
"Count Columns to Display","Count Columns to Display"
"Show add to cart checkboxes","Show add to cart checkboxes"
"Customer Bought Together","Customer Bought Together"
"unselect all","unselect all"
"select all","select all"
"Enabled Amazone Style","Enabled Amazone Style"
"Add All to Cart","Add All to Cart"
"Total Price","Total Price"
"This Product is Frequently Bought With","This Product is Frequently Bought With"
"Add this product to the cart too","Add this product to the cart too"
