"Action","Дія"
"Add Category","Додати розділ"
"Add Comment","Додати Коментар"
"Add Post","Додати статтю"
"Added By","Автор статті"
"Advanced Options","Розширені настройки"
"Advanced Post Options","Розширені настройки статті"
"All comments will appear immediately without the need for approval by admin.","Всі коментарі будуть з'являтися негайно, без підтвердження Адміністратора."
"Approve","Прийняти"
"Are you sure?","Ви впевнені?"
"Auto Approve Comments","Автоматично приймати коментарі"
"Blog","Статті"
"Blog Comment Manager","Керування коментарями"
"Blog Manager","Керування блогом"
"Blog Post Manager","Керування статтями"
"Blog Post Options","Настройки статті"
"Blog Settings","Настройки блога"
"Blog Title","Назва блога"
"By","Автор:"
"Categories","Розділи"
"Category","Розділ"
"Category does not exist","Розділ не існує"
"Category Information","Інформація про Розділ"
"Category Manager","Керування Розділами"
"Change status","Змінити статус"
"click here","клацніть тут"
"Comment","Коментар"
"Comment Information","Інформація про коментарі"
"Comment was approved","Коментар прийнято!"
"Comment was successfully deleted","Коментар видалено"
"Comment was successfully saved","Коментар збережено"
"Comment was unapproved","Коментар відхилено"
"Comments","Коментарі"
"Comments are not enabled.","Коментарі відключені."
"Comments will appear immediately without the need for approval by admin.","коментарі будуть з'являтися миттєво, без підтвердження Адміністратором."
"Content","Зміст"
"Created","Створений"
"Delete","Видалено"
"Delete Category","Видалити Розділ"
"Delete Comment","Видалити Коментар"
"Delete Post","Видалити статтю"
"Description","Опис"
"Disabled","Вимкнений"
"Email Address","Е-mail адреса"
"Edit","Редагувати"
"Edit Category '%s'","Редагувати категорію '%s'"
"Edit Comment By '%s'","Редагувати Коментар '%s'"
"Edit Post '%s'","Редагувати статтю '%s'"
"eg: YYYY-MM-DD HH:MM:SS Leave blank to use current date","напр.: РРРР-ММ-ДД ГГ:ХХ:СС. Залиште пустим, щоб вставилась сьогоднішня дата."
"Email","E-mail"
"Email Sender","Відправник e-mail"
"Email Template","Шаблон e-mail"
"Enable Blog RSS Feed","Вмикнути RSS-фід"
"Enable Comments","Вмикнути коментарі"
"Enable Footer Link","Вмикнути посилання в футері"
"Enable Left Menu","Вмикнути ліве меню"
"Enable Right Menu","Вмикнути праве меню"
"Enable Top Link","Вмикнути верхнє посилання"
"Enabled","Включено"
"Frequency","Частота"
"Go to Home Page","Перейти на Головну сторінку"
"Google Sitemap","Карта сайту Google"
"Hidden","Прихований"
"Home","На Головну"
"ID","ID"
"Identifier","Ідентифікатор"
"Keywords","Ключові слова"
