"# of Use","# використання"
"%1$s incl tax.","%1$s включаючи податок."
"%s - %s","%s - %s"
"%s Item(s)","%s шт."
"(Copy data from: %s)","(Копіювати дані з: %s)"
"(Will make search for the query above return results for this search.)","(При пошуку синоніму, спершу будуть відображені результати пошуку по синоніму, а потім добалені результати пошуку по основному слову.)"
"* Required Fields","* Обов'язкові поля"
"-- Please Select --","-- Виберіть, будь-ласка --"
"A name is required","Ім&#39;я є обов&#39;язковим полем"
"ALL GROUPS","ВСІ ГРУПИ"
"AM","AM"
"Action","Дія"
"Add Attribute","Додати атрибут"
"Add Design Change","Додати зміни в дизайні"
"Add Group","Додати групу"
"Add Items to Cart","Додати товари в кошик"
"Add New","Додати нову"
"Add New Attribute","Додати новий атрибут"
"Add New Attribute Set","Додати новий набір атрибутів"
"Add New Group","Додати нову групу"
"Add New Images","Додати нові малюнки"
"Add New Option","Додати нову опцію"
"Add New Row","Додати новий рядок"
"Add New Search Term","Додати новий термін для пошуку"
"Add New Set","Додати новий набір"
"Add Option","Додати варіант"
"Add Product","Додати товар"
"Add Product To Websites","Додати продукт до сайтів"
"Add Root Category","Додати початкову категорію"
"Add Subcategory","Додати підкатегорію"
"Add Tax","Додати податок"
"Add Tier","Додати рівень"
"Add to Cart","Купити"
"Add to Compare","Додати для порівняння"
"Add to My Wishlist","Додати до мого списку бажань"
"Add to Wishlist","Додати до списку бажань"
"Additional Information","Додаткова інформація"
"All","Всі"
"All Product Types","Всі типи товарів"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Всі товари цього набору будуть видалені! Ви впевнені, що хочете видалити цей атрибут?"
"Allow HTML-tags on Front-end","Дозволити HTML-теги на Front-End"
"Allowed File Extensions","Допустимі розширення файлів"
"Allowed file extensions to upload","Допустимі розширення файлів для завантаження"
"Amount","Рахунок"
"Apply To","Застосувати для"
"Apply To Configurable/Grouped Product","Застосувати до конфігурованих/згрупованих товарів"
"Approved","Підтверджено"
"Are you sure you want to delete this category?","Ви впевнені, що бажаєе видалити цю категорію?"
"Are you sure you would like to remove all products from your comparison?","Ви впевнені, що хочете видалити всі продукти з вашого порівнянні?"
"Are you sure you would like to remove this item from the compare products?","Ви впевнені, що бажаєте видалити цей товар зі списку порівняння?"
"Are you sure?","Ви впевнені?"
"As low as:","Всього за:"
"Assign","Призначити"
"Assign product link","Зв'язати посилання продукту"
"Assign product to category","Призначити продукт до категорії"
"Assigned Products","Зв'язані товари"
"Associated Products","Пов'язані товари"
"Attrib. Set Name","Набір атрибутів"
"Attribute Code","Код атрибуту"
"Attribute Information","Інформація по атрибуту"
"Attribute Label","Мітка атрибуту"
"Attribute Model","Модель атрибуту"
"Attribute Name:","Ім&#39;я атрибуту:"
"Attribute Properties","Властивості атрибуту"
"Attribute Set","Набір атрибутів"
"Attribute group with the ""/name/"" name already exists","Група атрибутів з ""/name/"" ім'ям вже існує"
"Attribute model not defined","Модель атрибуту не задана"
"Attribute with the same code already exists","Атрибут з ідентичним кодом вже існує"
"Attributes","Атрибути"
"Attrribute names can be specified per store.","Атрибутів імена можуть бути зазначені в магазині."
"Autogenerate","Автостворення"
"Availability","Наявність"
"Availability: In stock.","Наявність: На складі."
"Availability: Out of stock.","Наявність: Відсутній."
"Back","Повернутися"
"Backend Model","Модель внутрішнього інтерфейсу"
"Backend Table","Таблиця внутрішнього інтерфейсу"
"Backend Table Title","Назва таблиці внутрішнього інтерфейсу"
"Backorders","Попереднє замовлення"
"Base directory to upload image file is not specified","Основна директорія для завантажування малюнків не визначена"
"Based On","На основі"
"Best Value","Найкраща ціна"
"Block after Info Column","Блок після Info колонки"
"Bottom/Left","Внизу/Зліва"
"Bottom/Right","Внизу/справа"
"Browse By","Перегляд"
"Buy %1$s for %2$s","Купити %1$s для %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Купити %1$s для %2$s (%3$s вкл. податок) кожний"
"Buy %1$s for %2$s each","Купити %1$s для %2$s кожен"
"Can be used only with catalog input type Dropdown","Може використовуватись виключно з випадаючим меню каталогу"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Може використовуватись виключно з випадаючим меню каталогу, Груповим вибором та Ціною"
"Can't create image.","Неможливо створити зображення."
"Cannot create writeable directory '%s'","Неможливо створити записуваний каталог '%s'"
"Cart Item Attribute","Атрибут товару в кошику"
"Catalog","Каталог"
"Catalog Input Type for Store Owner","Тип вводу каталогу для валсника групи магазинів"
"Catalog Price Scope","Діапазон цін в каталозі"
"Catalog Section","Розділ каталогу"
"Catalog, Search","Каталог, Пошук"
"Categories","Категорії"
"Categories Sitemap","Дерево категорій"
"Category","Категорія"
"Category API","Категорія API"
"Category Data","Дані категорії"
"Category Navigation:","Меню категорій:"
"Category Products","Товари"
"Category Top Navigation","Категорія Топ Навігація"
"Category URL Suffix","Категорії URL суфікс"
"Category attributes API","Атрибути Категорії API"
"Category delete error","Помилка видалення категорії"
"Category deleted","Категорія видалена"
"Category move error","Помилка переміщення категорії"
"Category must be instance of Mage_Catalog_Model_Category","Категорія повинна бути типу Mage_Catalog_Model_Category"
"Category saved","Категорію збережено"
"Change","Змінити"
"Change or Retrieve attribute store view","Змінити або Витягти атрибут виду магазина"
"Change status","Змінити статус"
"Check items to add to the cart or","Відмітити товари для додавання в кошик або"
"Choose an Option...","Виберіть..."
"Choose option...","Виберіть..."
"Clear All","Очистити все"
"Clear All Items","Очистити список"
"Close Window","Закрити вікно"
"Collapse All","Згорнути все"
"Comparable","Піддається порівнянню"
"Comparable on Front-end","Піддається порівнянню на зовнішньому інтерфейсі"
"Compare Items","Порівняти товари"
"Compare Products","Порівняння товарів"
"Compare Products (%d)","Порівняння товарів (%d)"
"Compare Products - %d Items","Порівняння товарів - %d шт."
"Compare Products List","Порівняти список товарів"
"Compare list successfully cleared","Список для порівняння був успішно створений"
"Conditions Combination","Комбінація умов"
"Configurable Product","Конфігурований товар"
"Configurable Product Settings","Налаштування кофігурованого товару"
"Continue","Продовжити"
"Copy From Configurable","Скопіювати з Настроюваних"
"Country/State","Країна/область"
"Create","Створити"
"Create (Upload)","Створити (Upload)"
"Create Empty","Створити пустий"
"Create Product Settings","Створити налаштування товару"
"Create Simple Associated Product","Створити простий пов'язаний товар"
"Create new category","Створити нову категорію"
"Create new product","Створення нового продукту"
"Cross-sells","Перехресні продажі"
"Currently Shopping by","Перегляд товарів по"
"Custom Design","Дизайн"
"Custom Options","Персональні параметри"
"Customer Group","Група клієнтів"
"Customers Reviews","Відгуки клієнтів"
"Customers Tagged Product","Товар, відзначений клієнтами"
"Customers for alert %s was successfuly added to queue","Клієнти були успішно додані в чергу для оповіщення %s"
"Data Type for Saving in Database","Тип даних для збереження в базі даних"
"Date","Дата"
"Date & Time Custom Options","Дата і Час - Персональні параметри"
"Date Subscribed","Дата підписки"
"Date fields order","Замовити поля Дата"
"Datetime","Дата і час"
"Decimal","Десятковий"
"Decimal Number","Десяткове число"
"Declare attribute value saving scope","Зазначти діапазон збереження для значення атрибуту"
"Default Qty","Кількість за замовчуванням"
"Default Values","Значення за замовчуванням"
"Default price","Ціна за замовчуванням"
"Default value","Значення за замовчуванням"
"Delete","Видалити"
"Delete Attribute","Видалити атрибут"
"Delete Attribute Set","Видалити набір атрибутів"
"Delete Category","Видалити категорію"
"Delete Option","Видалити варіант"
"Delete Row","Видалити рядок"
"Delete Search","Видалити пошук"
"Delete Selected Group","Видалити вибрану групу"
"Delete category","Видалити категорію"
"Delete product","Видалити продукт"
"Depends on design theme","Залежить від теми дизайну"
"Design","Дизайн"
"Disabled","Не показувати"
"Display in Suggested Terms","Відображати у запропонованих умовах"
"Double click on a group to rename it","Двічі клікніть на групі для її перейменування "
"Double click on above image to view full picture","Подвійний клік по зображенню для перегляду в повний розмір"
"Dropdown","Випадаюче меню"
"Duplicate","Дублювати"
"Duplicate website tier price customer group and quantity.","Дублювати рівень цін веб-сайту, групу клієнтів та кількість."
"Duplicate website, country and state tax found.","Знайдено дублюючий сайт, країна та державне мито."
"Edit","Редагувати"
"Edit Attribute Set '%s'","Редагувати набір атрибутів '%s'"
"Edit Product Attribute","Редагувати атрибут товару"
"Edit Product Attribute ""%s""","Редагувати атрибут товару ""%s"""
"Edit Search","Редагувати пошук"
"Edit Search '%s'","Редагувати пошук '%s'"
"Email","E-mail"
