"%s and greater","%s and greater"
"Advanced Search","Розширений пошук"
"All","Всі"
"Applies for ""Like"" Search type only","Застосувати для ""Як"" тільки тип пошуку"
"Apply Layered Navigation if search results are less than","Застосувати структуровану навігацію якщо результатів пошуку менше ніж "
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Автоматично створена мапа сайту"
"Catalog Advanced Search","Розширений пошук по каталогу"
"Catalog Search","Пошук каталогу"
"Don't see what you're looking for?","Це не те, що ви шукали?"
"Go","Вперед"
"Go to Home Page","перейти на головну сторінку"
"Grid","Таблиця"
"Home","Головна"
"List","Список"
"Maximum Query Length","Максимальна довжина запиту"
"Maximum Query Words Count","Максимальна кількість слів запиту"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Мінімальна довжина запиту"
"Modify your search","Шукати заново"
"No","Ні"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Популярні пошуки"
"Popular search terms","Популярні пошуки"
"Relevance","Релевантні"
"Required Fields","Обов'язкові поля"
"Results","Результати"
"Search","Пошук"
"Search Settings","Налаштування пошуку"
"Search Site","Пошук по сайту"
"Search Terms","Пошуковий запит"
"Search Type","Тип пошуку"
"Search entire store here...","Пошук по крамниці..."
"Search results for '%s'","Результати пошуку для '%s'"
"Search results for: '%s'","Результати пошуку для: '%s'"
"Subscribe to Feed","Підписка на оновлення"
"There are no search terms available.","Пошукові умови відсутні."
"Yes","Так"
"You have to specify at least one search term","Ви повинні вказати хоча б одну пошукову умову"
"Your search returns no results.","Нажаль, нічого не знайдено."
"up to %s","до %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d всього</strong> було знайдено по слідуючим пошуковим запитам"
"Is product available for purchase with Google Checkout","Цей продукт доступний для замовлення через Google Checkout"
"Advanced Search","Розширений пошук"
"Search Terms","Пошукові терміни"
"Popular Search Terms","Популярні пошукові запити"
"There are no search terms available.","Немає доступних пошукових запитів."
"Search:","Пошук:"
"Search...","Пошук..."
