"Cart Totals","Всього"
"Clear Shopping Cart","Очистити кошик"
"%s was successfully added to your shopping cart.","%s був успішно доданий до кошика!"
"%s was added to your shopping cart.","Товар <strong>%s</strong> - успішно доданий до кошика!"
"&laquo; Back to Billing Information","&laquo; Повернутись до інформації про оплату"
"&laquo; Back to Select Addresses","&laquo; Повернутись до вибору адреси"
"&laquo; Back to Shopping Cart","&laquo; Повернутись до кошику"
"* Required Fields","* Обов'язкові поля"
"Add New Address","Додати нову адресу"
"Add New Condition","Додати нову Condition"
"Add to Cart","Додати в кошик"
"Add to Compare","Порівняти"
"Add to Wishlist","Додати до списку бажань"
"Address","Адреса"
"Address %s of %s","Адреса %s з %s"
"After adding a product redirect to shopping cart","Після додавання товару перейти до кошика"
"Allow Guest Checkout","Дозволити оформляти замовлення без реєстрації"
"Already registered?","Вже зареєстровані?"
"An error occurred in the process of payment","Сталася помилка в процесі оплати"
"Apply Coupon","Використати сертифікат"
"Are you sure you would like to remove this item from the shopping cart?","Ви впевнені, що бажаєте видалити даний товар з кошика ?"
"Back","Повернутись"
"Back to Shipping Information","Повернутись до інформації про доставку"
"Based on your selection, you may be interested in the following items:","Вас можуть зацікавити такі товари:"
"Billing Address","Адреса оплати"
"Billing Information","Інформація по оплаті"
"Billing Information - %s","Інформація по оплаті - %s"
"Can not add item to shopping cart","Неможливо додати товар в кошик"
"Can not apply coupon code.","Неможливо застосувати код сертифікату."
"Can't open overview page","Не вдається відкрити сторінку огляду"
"Cancel Coupon","Відмінити сертифікат знижки"
"Cannot remove item","Неможливо видалити товар"
"Cannot update shopping cart","Неможливо оновит кошик"
"Card Verification Number Visual Reference","Інформація про вид перевірочного коду на картці"
"Cart Subtotal:","Загальна вартість товару в кошику:"
"Change","Змінити"
"Change Billing Address","Змінити адресу оплати"
"Checkbox text","відмітити текст"
"Checkout","Оформлення замовлення"
"Checkout Conditions","Умови по замовленню"
"Checkout Options","Налаштування замовлення"
"Checkout Section","Секція розрахунку"
"Checkout Terms and Conditions","Умови та терміни по замовленню"
"Checkout as Guest","Оформити замовлення без реєстрації"
"Checkout as a Guest or Register","Оформити замовлення без реєстрації, або зареєструватись"
"Checkout method","Метод оформлення замовлення"
"Checkout with Multiple Addresses","Оформити замовлення з кількома адресами"
"City","Місто"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Клацніть <a href=""%s"" onclick=""this.target='_blank'"">тут для друку</a> копії вашого замовлення."
"Close","Закрити"
"Company","Компанія"
"Condition Name","стан Ім'я"
"Condition was successfully deleted","Стан був успішно видалений"
"Condition was successfully saved","Стан успішно збережено"
"Configurable product image","Зображення конфігурованого товару"
"Confirm Password","Підтвердження паролю"
"Content","Контент"
"Content Height","Контенту висота"
"Content Height (css)","Контенту висота (css)"
"Continue","Продовжити"
"Continue Shopping","Перейти до магазину"
"Continue shopping","Продовжити вибір товарів"
"Continue to Billing Information","Перейти до інформації про оплату "
"Continue to Review Your Order","Перейти до перегляду Вашого замовлення"
"Continue to Shipping Information","Перейти до інформації про купівлю"
"Country","Країна"
"Coupon code ""%s"" is not valid.","Код сертифікату ""%s"" недійсний."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Код сертифікату був успішно відмінений."
"Create Billing Address","Нова адреса оплати"
"Create Shipping Address","Нова адреса доставки"
"Customer Address is not valid.","Адреса клієнту не діє."
"Data saving problem","Проблема збереження даних"
"Default Billing","Оплата за замовчуванням"
"Default Shipping","Доставка за замовчуванням"
